Trie constructed
shortlist size: 100
Word counts size: 881233
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 7625530
Initial setup phase: 20162 ms
72. |Ġsystem [c4 a0 73 79 73 74 65 6d ] | 3481400  | 12 ms | 12 ms | num. checks: 78
73. |mp [6d 70 ] | 3480675  | 3 ms | 44 ms | num. checks: 1
74. |ow [6f 77 ] | 3353348  | 6 ms | 28 ms | num. checks: 6
75. |ol [6f 6c ] | 3332868  | 6 ms | 90 ms | num. checks: 4
76. |qu [71 75 ] | 3276963  | 6 ms | 49 ms | num. checks: 3
77. |ig [69 67 ] | 3268610  | 4 ms | 50 ms | num. checks: 2
78. |Ġ$ [c4 a0 24 ] | 3163467  | 2 ms | 5 ms | num. checks: 1
79. |Ġon [c4 a0 6f 6e ] | 3034092  | 11 ms | 13 ms | num. checks: 87
80. |si [73 69 ] | 3019981  | 18 ms | 53 ms | num. checks: 100
81. |Ġex [c4 a0 65 78 ] | 3003876  | 7 ms | 18 ms | num. checks: 3
82. |Ġthis [c4 a0 74 68 69 73 ] | 2907902  | 0 ms | 0 ms | num. checks: 0
83. |Ġmethod [c4 a0 6d 65 74 68 6f 64 ] | 2906544  | 0 ms | 0 ms | num. checks: 0
84. |Ġresult [c4 a0 72 65 73 75 6c 74 ] | 2886168  | 9 ms | 9 ms | num. checks: 100
85. |Ġan [c4 a0 61 6e ] | 2880214  | 0 ms | 14 ms | num. checks: 0
86. |il [69 6c ] | 2850595  | 6 ms | 86 ms | num. checks: 100
87. |ut [75 74 ] | 2731068  | 8 ms | 53 ms | num. checks: 100
88. |ect [65 63 74 ] | 2720655  | 5 ms | 29 ms | num. checks: 3
89. |ot [6f 74 ] | 2693585  | 6 ms | 64 ms | num. checks: 100
90. |om [6f 6d ] | 2688107  | 7 ms | 79 ms | num. checks: 54
91. |Ġapp [c4 a0 61 70 70 ] | 2670702  | 5 ms | 8 ms | num. checks: 9
92. |per [70 65 72 ] | 2637748  | 4 ms | 63 ms | num. checks: 3
93. |if [69 66 ] | 2581428  | 5 ms | 44 ms | num. checks: 7
94. |ity [69 74 79 ] | 2577507  | 4 ms | 60 ms | num. checks: 6
95. |um [75 6d ] | 2568957  | 4 ms | 38 ms | num. checks: 5
96. |res [72 65 73 ] | 2541083  | 6 ms | 33 ms | num. checks: 3
97. |ical [69 63 61 6c ] | 2528414  | 4 ms | 42 ms | num. checks: 3
98. |Ġv [c4 a0 76 ] | 2527172  | 1 ms | 11 ms | num. checks: 1
99. |Ġfrom [c4 a0 66 72 6f 6d ] | 2487008  | 0 ms | 0 ms | num. checks: 0
100. |Ġ( [c4 a0 28 ] | 2469747  | 0 ms | 1 ms | num. checks: 0
101. |ĠIn [c4 a0 49 6e ] | 2464386  | 11 ms | 24 ms | num. checks: 100
102. |id [69 64 ] | 2430440  | 12 ms | 70 ms | num. checks: 100
103. |os [6f 73 ] | 2413641  | 6 ms | 60 ms | num. checks: 100
104. |Ġobserv [c4 a0 6f 62 73 65 72 76 ] | 2370564  | 3 ms | 3 ms | num. checks: 5
105. |ction [63 74 69 6f 6e ] | 2364545  | 0 ms | 17 ms | num. checks: 1
106. |Ġwe [c4 a0 77 65 ] | 2352237  | 3 ms | 4 ms | num. checks: 3
107. |ate [61 74 65 ] | 2348521  | 2 ms | 23 ms | num. checks: 1
108. |Ġbe [c4 a0 62 65 ] | 2313416  | 0 ms | 2 ms | num. checks: 1
109. |Ġalgorithm [c4 a0 61 6c 67 6f 72 69 74 68 6d ] | 2312820  | 0 ms | 0 ms | num. checks: 0
110. |am [61 6d ] | 2291310  | 4 ms | 56 ms | num. checks: 100
111. |Ġdistribution [c4 a0 64 69 73 74 72 69 62 75 74 69 6f 6e ] | 2278227  | 0 ms | 0 ms | num. checks: 0
112. |Ġde [c4 a0 64 65 ] | 2271550  | 1 ms | 15 ms | num. checks: 2
113. |Ġbetween [c4 a0 62 65 74 77 65 65 6e ] | 2225268  | 0 ms | 0 ms | num. checks: 0
114. |ter [74 65 72 ] | 2210210  | 6 ms | 48 ms | num. checks: 100
115. |Ġas [c4 a0 61 73 ] | 2183476  | 5 ms | 8 ms | num. checks: 100
116. |form [66 6f 72 6d ] | 2172592  | 0 ms | 11 ms | num. checks: 1
117. |Ġare [c4 a0 61 72 65 ] | 2171782  | 0 ms | 0 ms | num. checks: 0
118. |ge [67 65 ] | 2105825  | 6 ms | 25 ms | num. checks: 100
119. |ab [61 62 ] | 2098168  | 5 ms | 67 ms | num. checks: 100
120. |ĠTh [c4 a0 54 68 ] | 2074556  | 5 ms | 9 ms | num. checks: 100
121. |Ġshow [c4 a0 73 68 6f 77 ] | 2049024  | 0 ms | 0 ms | num. checks: 0
122. |Ġsp [c4 a0 73 70 ] | 2046059  | 0 ms | 7 ms | num. checks: 0
123. |Ġsu [c4 a0 73 75 ] | 1969175  | 0 ms | 30 ms | num. checks: 0
124. |ies [69 65 73 ] | 1961763  | 5 ms | 28 ms | num. checks: 100
125. |ive [69 76 65 ] | 1943615  | 3 ms | 24 ms | num. checks: 100
126. |ver [76 65 72 ] | 1940150  | 1 ms | 24 ms | num. checks: 1
127. |Ġdifferent [c4 a0 64 69 66 66 65 72 65 6e 74 ] | 1927156  | 0 ms | 0 ms | num. checks: 0
128. |ant [61 6e 74 ] | 1926232  | 4 ms | 32 ms | num. checks: 100
129. |Ġby [c4 a0 62 79 ] | 1883733  | 1 ms | 1 ms | num. checks: 3
130. |ure [75 72 65 ] | 1877640  | 1 ms | 12 ms | num. checks: 1
131. |Ġfield [c4 a0 66 69 65 6c 64 ] | 1871430  | 0 ms | 0 ms | num. checks: 0
132. |Ġal [c4 a0 61 6c ] | 1870921  | 7 ms | 11 ms | num. checks: 100
133. |ations [61 74 69 6f 6e 73 ] | 1866241  | 4 ms | 24 ms | num. checks: 100
134. |ve [76 65 ] | 1824174  | 2 ms | 12 ms | num. checks: 2
135. |iz [69 7a ] | 1783319  | 6 ms | 62 ms | num. checks: 100
136. |ir [69 72 ] | 1774671  | 4 ms | 29 ms | num. checks: 100
