Trie constructed
shortlist size: 100
Word counts size: 105505
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 884630
Initial setup phase: 1897 ms
70. |im [69 6d ] | 358448  | 0 ms | 13 ms | num. checks: 1
71. |ĠGovernment [c4 a0 47 6f 76 65 72 6e 6d 65 6e 74 ] | 349962  | 0 ms | 0 ms | num. checks: 0
72. |Ġworld [c4 a0 77 6f 72 6c 64 ] | 348903  | 2 ms | 2 ms | num. checks: 100
73. |ent [65 6e 74 ] | 347950  | 0 ms | 12 ms | num. checks: 0
74. |si [73 69 ] | 346267  | 2 ms | 14 ms | num. checks: 4
75. |om [6f 6d ] | 341222  | 1 ms | 13 ms | num. checks: 2
76. |ol [6f 6c ] | 340056  | 1 ms | 15 ms | num. checks: 1
77. |ĠStates [c4 a0 53 74 61 74 65 73 ] | 335188  | 0 ms | 0 ms | num. checks: 0
78. |Ġits [c4 a0 69 74 73 ] | 331226  | 0 ms | 0 ms | num. checks: 0
79. |Ġhave [c4 a0 68 61 76 65 ] | 330980  | 0 ms | 0 ms | num. checks: 0
80. |ight [69 67 68 74 ] | 324000  | 2 ms | 4 ms | num. checks: 57
81. |ity [69 74 79 ] | 322398  | 0 ms | 8 ms | num. checks: 0
82. |Ġon [c4 a0 6f 6e ] | 321135  | 0 ms | 0 ms | num. checks: 0
83. |un [75 6e ] | 319976  | 2 ms | 25 ms | num. checks: 100
84. |ur [75 72 ] | 316230  | 1 ms | 12 ms | num. checks: 3
85. |ĠOrganization [c4 a0 4f 72 67 61 6e 69 7a 61 74 69 6f 6e ] | 298536  | 0 ms | 0 ms | num. checks: 0
86. |Ġwe [c4 a0 77 65 ] | 293443  | 2 ms | 3 ms | num. checks: 100
87. |ul [75 6c ] | 290946  | 0 ms | 14 ms | num. checks: 0
88. |ĠI [c4 a0 49 ] | 290833  | 0 ms | 7 ms | num. checks: 1
89. |Ġall [c4 a0 61 6c 6c ] | 290474  | 0 ms | 0 ms | num. checks: 0
90. |Ġg [c4 a0 67 ] | 289866  | 2 ms | 7 ms | num. checks: 100
91. |Ġl [c4 a0 6c ] | 288457  | 0 ms | 4 ms | num. checks: 0
92. |ra [72 61 ] | 286558  | 2 ms | 17 ms | num. checks: 3
93. |se [73 65 ] | 285156  | 1 ms | 7 ms | num. checks: 2
94. |ir [69 72 ] | 279768  | 0 ms | 7 ms | num. checks: 1
95. |Ġshould [c4 a0 73 68 6f 75 6c 64 ] | 275984  | 0 ms | 0 ms | num. checks: 0
96. |ies [69 65 73 ] | 273509  | 2 ms | 10 ms | num. checks: 55
97. |Ġpro [c4 a0 70 72 6f ] | 272251  | 0 ms | 3 ms | num. checks: 1
98. |ĠAfric [c4 a0 41 66 72 69 63 ] | 261016  | 0 ms | 0 ms | num. checks: 0
99. |Ġnot [c4 a0 6e 6f 74 ] | 260834  | 0 ms | 0 ms | num. checks: 0
100. |Ġwill [c4 a0 77 69 6c 6c ] | 259180  | 2 ms | 2 ms | num. checks: 87
101. |port [70 6f 72 74 ] | 259046  | 0 ms | 1 ms | num. checks: 0
102. |de [64 65 ] | 255156  | 1 ms | 10 ms | num. checks: 50
103. |Ġeconomic [c4 a0 65 63 6f 6e 6f 6d 69 63 ] | 245720  | 2 ms | 2 ms | num. checks: 100
104. |ver [76 65 72 ] | 239923  | 0 ms | 7 ms | num. checks: 0
105. |ĠS [c4 a0 53 ] | 238184  | 1 ms | 14 ms | num. checks: 100
106. |res [72 65 73 ] | 234929  | 0 ms | 8 ms | num. checks: 1
107. |Ġas [c4 a0 61 73 ] | 232510  | 2 ms | 2 ms | num. checks: 56
108. |ter [74 65 72 ] | 227717  | 0 ms | 11 ms | num. checks: 0
109. |ĠC [c4 a0 43 ] | 224844  | 0 ms | 12 ms | num. checks: 1
110. |ĠRepublic [c4 a0 52 65 70 75 62 6c 69 63 ] | 222278  | 0 ms | 0 ms | num. checks: 0
111. |Ġpeople [c4 a0 70 65 6f 70 6c 65 ] | 221397  | 1 ms | 1 ms | num. checks: 5
112. |ate [61 74 65 ] | 217345  | 1 ms | 8 ms | num. checks: 83
113. |ow [6f 77 ] | 215884  | 0 ms | 3 ms | num. checks: 0
114. |Ġefforts [c4 a0 65 66 66 6f 72 74 73 ] | 215635  | 0 ms | 0 ms | num. checks: 0
115. |ac [61 63 ] | 215577  | 1 ms | 13 ms | num. checks: 100
116. |Ġst [c4 a0 73 74 ] | 214953  | 1 ms | 5 ms | num. checks: 100
117. |uc [75 63 ] | 209714  | 0 ms | 5 ms | num. checks: 1
118. |ĠWe [c4 a0 57 65 ] | 209476  | 0 ms | 0 ms | num. checks: 0
119. |ble [62 6c 65 ] | 208511  | 1 ms | 22 ms | num. checks: 100
120. |General [47 65 6e 65 72 61 6c ] | 199551  | 0 ms | 0 ms | num. checks: 0
121. |Ġare [c4 a0 61 72 65 ] | 199497  | 0 ms | 0 ms | num. checks: 0
122. |Ġde [c4 a0 64 65 ] | 199412  | 9 ms | 17 ms | num. checks: 52
123. |ĠA [c4 a0 41 ] | 195065  | 0 ms | 16 ms | num. checks: 0
124. |Ġcomm [c4 a0 63 6f 6d 6d ] | 194414  | 0 ms | 1 ms | num. checks: 0
125. |Ġpart [c4 a0 70 61 72 74 ] | 192864  | 0 ms | 0 ms | num. checks: 0
126. |ut [75 74 ] | 192307  | 0 ms | 9 ms | num. checks: 1
127. |Ġestablish [c4 a0 65 73 74 61 62 6c 69 73 68 ] | 191821  | 0 ms | 0 ms | num. checks: 0
128. |Ġalso [c4 a0 61 6c 73 6f ] | 187833  | 7 ms | 7 ms | num. checks: 66
129. |Ġother [c4 a0 6f 74 68 65 72 ] | 186993  | 6 ms | 6 ms | num. checks: 82
130. |ial [69 61 6c ] | 186416  | 0 ms | 7 ms | num. checks: 0
131. |Ġyear [c4 a0 79 65 61 72 ] | 183474  | 0 ms | 0 ms | num. checks: 0
132. |Ġby [c4 a0 62 79 ] | 181848  | 5 ms | 6 ms | num. checks: 100
133. |et [65 74 ] | 181046  | 0 ms | 10 ms | num. checks: 0
134. |Ġan [c4 a0 61 6e ] | 180193  | 4 ms | 6 ms | num. checks: 100
135. |ain [61 69 6e ] | 178842  | 0 ms | 3 ms | num. checks: 0
136. |Ġprincip [c4 a0 70 72 69 6e 63 69 70 ] | 178600  | 0 ms | 0 ms | num. checks: 0
137. |ust [75 73 74 ] | 175331  | 3 ms | 6 ms | num. checks: 54
138. |ig [69 67 ] | 171882  | 0 ms | 8 ms | num. checks: 0
139. |Ġunder [c4 a0 75 6e 64 65 72 ] | 171648  | 2 ms | 4 ms | num. checks: 28
140. |Ġfrom [c4 a0 66 72 6f 6d ] | 170172  | 0 ms | 0 ms | num. checks: 0
141. |Ġhuman [c4 a0 68 75 6d 61 6e ] | 169692  | 2 ms | 2 ms | num. checks: 17
142. |Ġpolitical [c4 a0 70 6f 6c 69 74 69 63 61 6c ] | 169548  | 0 ms | 0 ms | num. checks: 0
143. |ember [65 6d 62 65 72 ] | 169230  | 1 ms | 2 ms | num. checks: 35
144. |ist [69 73 74 ] | 169088  | 0 ms | 13 ms | num. checks: 0
145. |Ġwould [c4 a0 77 6f 75 6c 64 ] | 167595  | 0 ms | 0 ms | num. checks: 0
146. |Ġthis [c4 a0 74 68 69 73 ] | 167506  | 3 ms | 3 ms | num. checks: 100
147. |ations [61 74 69 6f 6e 73 ] | 166040  | 0 ms | 7 ms | num. checks: 0
148. |ive [69 76 65 ] | 164431  | 3 ms | 8 ms | num. checks: 100
149. |ess [65 73 73 ] | 163652  | 0 ms | 13 ms | num. checks: 2
150. |ere [65 72 65 ] | 161887  | 0 ms | 4 ms | num. checks: 1
151. |el [65 6c ] | 161241  | 2 ms | 10 ms | num. checks: 100
152. |ad [61 64 ] | 161009  | 1 ms | 9 ms | num. checks: 4
153. |oc [6f 63 ] | 160984  | 1 ms | 7 ms | num. checks: 6
154. |ore [6f 72 65 ] | 160941  | 1 ms | 3 ms | num. checks: 2
155. |id [69 64 ] | 160489  | 0 ms | 6 ms | num. checks: 0
156. |Ġac [c4 a0 61 63 ] | 160428  | 0 ms | 2 ms | num. checks: 3
157. |Th [54 68 ] | 160012  | 0 ms | 0 ms | num. checks: 0
158. |ay [61 79 ] | 158254  | 0 ms | 3 ms | num. checks: 1
159. |ecurity [65 63 75 72 69 74 79 ] | 157788  | 0 ms | 0 ms | num. checks: 0
